UID,TRIP,MVMT,STGE,Name,Latitude,Longitude,Point Q,Cent,ARR_CALC,Arr - Y,Arr - M,Arr - D,Arr - Q,DEP_CALC,Dep - Y,Dep - M,Dep - D,Dep -Q,Date Human,Traveler ID,Traveler Name 1,Traveler Name 2,Traveler Q,Movement Type/Purpose,MvmtQ,Rumor,Description,Comment,Origins Number,Reference,Reference Cont,
1,1,1,d,Alexandria,31.2,29.916,,,XXXX-XX-XX,,,,,0609-XX-XX,609,,,ca.,ca. 609-10,1001,Merchant ships,,,Business,,,Phocas seized Alexandrian grain shipments to Constantinople in Constantinople,,1,"John of Nikiu, Chronicle, pp. 176-7.",,77
2,1,2,a,Constantinople,41.013,28.955,,,0610-XX-XX,610,,,ca.,XXXX-XX-XX,,,,,ca. 609-10,1001,Merchant ships,,,Business,,,,,1,"John of Nikiu, Chronicle, pp. 176-7.",,36
3,2,1,di,Rome,41.9,12.5,,,XXXX-XX-XX,,,,,XXXX-XX-XX,,,,?,"arr in Jerusalem, Sept. 619",1002,Sophronius,,,Funerary transport,,,Sophronius brought John Machos' corpse home to the Levant to bury him at Sinai; Saracen raids made that impossible so he took it to Jerusalem,,2,"Anonymous prologue to the Pratum spirituale (cf. CPG 7376), 93.53-7.",,141
4,2,2,i,Ascalon,31.6658,34.5664,,,XXXX-XX-XX,,,,?,XXXX-XX-XX,,,,?,"arr in Jerusalem, Sept. 619",1002,Sophronius,,,Funerary transport,,,,,2,"Anonymous prologue to the Pratum spirituale (cf. CPG 7376), 93.53-7.",,68
5,2,3,ai,Jerusalem,31.7833,35.2167,,,0619-09-XX,619,9,,,XXXX-XX-XX,,,,,"arr in Jerusalem, Sept. 619",1002,Sophronius,,,Funerary transport,,,,,2,"Anonymous prologue to the Pratum spirituale (cf. CPG 7376), 93.53-7.",,68
6,3,1,d,Constantinople,41.013,28.955,,,XXXX-XX-XX,,,,,XXXX-XX-XX,,,,?,"shortly before May 31, 632",1003,Eparch George,,,Official,,,Eparch George returned to Africa with Heraclius' command to baptize all Jews and SAmaritans by force.,,3,"Ep. 8 frag., p. 34; Dagron and Déroche 1991, 30.",,101
7,3,2,a,Carthage,36.858,10.331,,,0632-05-31,632,5,31,,XXXX-XX-XX,,,,,"shortly before May 31, 632",1003,Eparch George,,,Official,,,,,3,"Ep. 8 frag., p. 34; Dagron and Déroche 1991, 30.",,48
8,4,1,d,Carthage,36.858,10.331,,,XXXX-XX-XX,,,,,0632-06-01,632,6,1,,between 1 June and 31 August 632,1004,Maximus Confessor,,,Letter,,,Maximus confessor wrote to an abbot about the forced baptism,,4,"Ep. 8 frag., p. 34; Dagron and Déroche 1991, 30.",,60
9,4,2,a,Jerusalem,31.7833,35.2167,,,0632-08-31,632,8,31,,XXXX-XX-XX,,,,,between 1 June and 31 August 632,1004,Maximus Confessor,,,Letter,,,,,4,"Ep. 8 frag., p. 34; Dagron and Déroche 1991, 30.",,48
10,5,1,d,Constantinople,41.013,28.955,,,XXXX-XX-XX,,,,,0641-05-XX,641,5,,,late April or May 641,1005,Philagrius sakellarios,,,Exile,,,"After the death of Heraclius-Constantine, his advosor Phiagrius sakellarios was tonsured and exiled to Septem",,5,"Nicephorus I, Brev., 30, 80.7-10; cf. Van Dieten 1972, 68.",,109
11,5,2,a,Septem,35.8883,-5.3156,,,XXXX-XX-XX,,,,?,XXXX-XX-XX,,,,,late April or May 641,1005,Philagrius sakellarios,,,Exile,,,,,5,"Nicephorus I, Brev., 30, 80.7-10; cf. Van Dieten 1972, 68.",,58
12,6,1,d,Constantinople,,,,,XXXX-XX-XX,,,,,0641-09-29,641,9,29,,After 28-29 September 641,1006,Ex-Patriarch Pyrrhus,,,Refugee,,,Pyrrhus escapes to Carthage after resigning,,6,"Nicephorus I, Brev., 30, n17; Van Dieten 1972, 74.",,50
